date,department_code,RR_precipitation,TM_temperature,FFM_vent
2015-01-18,75,0.3,3.9000000000000004,2.7
2015-01-18,78,1.7333333333333332,2.8833333333333333,2.8000000000000003
2015-01-18,85,12.163636363636364,5.090909090909091,4.763636363636364
2015-01-18,87,0.12000000000000002,2.7199999999999998,2.52
2015-01-18,91,0.35,2.35,2.225
2015-01-19,22,0.9,2.7800000000000002,3.05
2015-01-19,75,0.0,2.75,2.5
2015-01-19,78,0.0,1.4833333333333334,2.066666666666667
2015-01-19,85,0.03636363636363637,3.0,3.8363636363636364
2015-01-19,87,0.9199999999999999,1.9799999999999998,1.56
2015-01-19,91,0.6,1.0,1.475
2015-01-20,22,3.87,2.57,4.13
2015-01-20,75,0.0,1.2000000000000002,1.7
2015-01-20,78,0.0,-0.43333333333333335,1.2166666666666666
