date,volailler_paris_ca_ttc_base_100k,train_valid_test
2020-06-14,35.25730903957521,train
2020-06-16,98.34248102575326,train
2020-06-17,114.13620417703892,train
2020-06-18,140.22753901464938,train
2020-06-19,162.6808474639208,train
2020-06-20,251.87471956879924,train
2020-06-21,105.96005099719982,train
2020-06-23,62.04036090726763,train
2020-06-24,47.62138917560093,train
2020-06-25,63.51351558639617,train
2020-06-26,156.18044390925934,train
2020-06-27,242.66243795059466,train
2020-06-28,55.563111060726065,train
2020-06-30,75.15404234367506,train
2020-07-01,48.68645974911626,train
2020-07-02,124.98082221769631,train
2020-07-03,127.83451674347378,train
2020-07-04,228.7875783597456,train
2020-07-05,149.82185681683225,train
2020-07-07,105.6677354321861,train
2020-07-08,47.942646875764524,train
2020-07-09,73.1396697372439,train
2020-07-10,208.60622751973918,train
