date,EspaceRichaud_affluence_base100k,train_valid_test
2017-03-31,482.0881608736183,train
2017-04-01,980.1571447596217,train
2017-04-02,932.2146757224663,train
2017-04-05,591.2904514582501,train
2017-04-06,572.6461579438007,train
2017-04-07,530.0306299107738,train
2017-04-08,713.8100945532028,train
2017-04-09,692.5023305366893,train
2017-04-12,596.6173924623785,train
2017-04-13,535.3575709149021,train
2017-04-14,423.4918098282061,train
2017-04-15,801.704621121321,train
2017-04-16,972.1667332534291,train
2017-04-19,340.92422426421626,train
2017-04-20,388.8666933013717,train
2017-04-21,346.25116526834466,train
2017-04-22,833.6662671460913,train
2017-04-23,900.253029697696,train
2017-04-26,415.50139832201353,train
2017-04-27,431.4822213343987,train
2017-04-28,471.43427886536153,train
2017-04-29,785.7237981089359,train
2017-04-30,1672.659475296311,train
2017-05-03,229.05846317752028,train
2017-05-04,311.6260487415102,train
2017-05-05,474.0977493674257,train
2017-05-06,918.8973232121454,train
2017-05-07,1227.8599014515914,train
2017-05-10,279.6644027167399,train
2017-05-11,266.34705020641894,train
2017-05-12,258.35663870022637,train
2017-05-13,801.704621121321,train
2017-05-14,836.3297376481555,train
2017-05-17,295.64522572912506,train
2017-05-18,506.059395392196,train
2017-05-19,418.16486882407776,train
2017-05-20,783.0603276068716,train
2017-05-21,849.6470901584764,train
2017-05-24,554.0018644293514,train
2017-05-26,713.8100945532028,train
2017-05-27,623.2520974830204,train
2017-05-28,756.4256225862299,train
2017-09-16,695.1658010387534,train
2017-09-17,561.992275935544,train
2017-10-08,277.0009322146757,train
2017-10-11,101.2118790784392,train
2017-10-12,45.278998535091226,train
2017-10-18,55.93288054334798,train
2017-10-19,85.23105606605407,train
2017-10-20,119.85617259288853,train
2017-10-21,247.70275669196963,train
2017-10-22,258.35663870022637,train
2017-10-25,125.18311359701691,train
2017-10-26,101.2118790784392,train
2017-10-27,66.58676255160474,train
2017-10-28,130.5100546011453,train
2017-10-29,181.1159941403649,train
2017-11-02,90.55799707018245,train
2017-11-03,61.259821547476356,train
2017-11-04,159.8082301238514,train
2017-11-05,146.49087761353042,train
2017-11-08,39.95205753096285,train
2017-11-09,45.278998535091226,train
2017-11-10,79.9041150619257,train
2017-11-12,221.0680516713277,train
2017-11-15,69.25023305366892,train
2017-11-16,71.91370355573312,train
2017-11-17,47.94246903715541,train
2017-11-18,151.81781861765882,train
2017-11-19,191.76987614862165,train
2017-11-22,71.91370355573312,train
2017-11-23,55.93288054334798,train
2017-11-24,71.91370355573312,train
2017-11-25,109.20229058463177,train
2017-11-26,130.5100546011453,train
2017-11-29,21.307764016513516,train
2017-11-30,31.961646024770275,train
2017-12-01,26.634705020641896,train
2017-12-02,119.85617259288853,train
2017-12-03,122.51964309495271,train
2017-12-23,2165.401518178186,train
2017-12-24,1438.2740711146623,train
2017-12-26,2293.248102277267,train
